"rules","support","confidence","lift","count"
"{cereals} => {whole milk}",0.00366039654295882,0.642857142857143,2.51591723040191,36
"{jam} => {whole milk}",0.00294865277071683,0.547169811320755,2.14143059862301,29
"{specialty cheese} => {other vegetables}",0.00427046263345196,0.5,2.58407777193904,42
"{rice} => {other vegetables}",0.00396542958820539,0.52,2.68744088281661,39
"{rice} => {whole milk}",0.00467717336044738,0.613333333333333,2.40037140204271,46
"{baking powder} => {whole milk}",0.00925266903914591,0.522988505747126,2.04679345563987,91
"{yogurt,specialty cheese} => {whole milk}",0.00203355363497712,0.714285714285714,2.79546358933546,20
"{whole milk,specialty cheese} => {yogurt}",0.00203355363497712,0.540540540540541,3.87479316050745,20
"{other vegetables,specialty cheese} => {whole milk}",0.00223690899847483,0.523809523809524,2.05000663217933,22
"{whole milk,specialty cheese} => {other vegetables}",0.00223690899847483,0.594594594594595,3.072957350414,22
"{turkey,other vegetables} => {whole milk}",0.00213523131672598,0.538461538461538,2.1073494750375,21
"{turkey,whole milk} => {other vegetables}",0.00213523131672598,0.583333333333333,3.01475740059555,21
"{root vegetables,rice} => {other vegetables}",0.00223690899847483,0.709677419354839,3.6677232892038,22
"{other vegetables,rice} => {root vegetables}",0.00223690899847483,0.564102564102564,5.17532529659395,22
"{root vegetables,rice} => {whole milk}",0.00244026436197255,0.774193548387097,3.02992182586036,24
"{whole milk,rice} => {root vegetables}",0.00244026436197255,0.521739130434783,4.78666450356911,24
"{other vegetables,rice} => {whole milk}",0.00264361972547026,0.666666666666667,2.60909935004642,26
"{whole milk,rice} => {other vegetables}",0.00264361972547026,0.565217391304348,2.92113139436587,26
"{other vegetables,frozen dessert} => {whole milk}",0.00203355363497712,0.555555555555556,2.17424945837202,20
"{whole milk,frozen dessert} => {other vegetables}",0.00203355363497712,0.512820512820513,2.65033617634774,20
"{whole milk,canned vegetables} => {other vegetables}",0.00203355363497712,0.526315789473684,2.72008186519899,20
"{whole milk,roll products } => {other vegetables}",0.00233858668022369,0.5,2.58407777193904,23
"{yogurt,frozen fish} => {whole milk}",0.00223690899847483,0.6875,2.69063370473538,22
"{other vegetables,frozen fish} => {whole milk}",0.00274529740721912,0.58695652173913,2.29714181906261,27
"{whole milk,frozen fish} => {other vegetables}",0.00274529740721912,0.551020408163265,2.84775917723895,27
"{other vegetables,cake bar} => {whole milk}",0.00203355363497712,0.540540540540541,2.1154859594971,20
"{whole milk,dishes} => {other vegetables}",0.00264361972547026,0.5,2.58407777193904,26
"{yogurt,pot plants} => {whole milk}",0.00203355363497712,0.526315789473684,2.05981527635244,20
"{other vegetables,pot plants} => {whole milk}",0.00244026436197255,0.558139534883721,2.1843622465505,24
"{root vegetables,pasta} => {whole milk}",0.00233858668022369,0.605263157894737,2.36878756780531,23
"{other vegetables,pasta} => {whole milk}",0.00213523131672598,0.5,1.95682451253482,21
"{herbs,whipped/sour cream} => {other vegetables}",0.00203355363497712,0.645161290322581,3.33429389927619,20
"{citrus fruit,herbs} => {other vegetables}",0.00213523131672598,0.724137931034483,3.74245746280827,21
"{tropical fruit,herbs} => {whole milk}",0.00233858668022369,0.821428571428571,3.21478312773577,23
"{herbs,yogurt} => {root vegetables}",0.00203355363497712,0.571428571428571,5.24253731343284,20
"{root vegetables,herbs} => {other vegetables}",0.00386375190645653,0.550724637681159,2.84623058938213,38
"{herbs,other vegetables} => {root vegetables}",0.00386375190645653,0.5,4.58722014925373,38
"{root vegetables,herbs} => {whole milk}",0.0041687849517031,0.594202898550725,2.3255015946066,41
"{herbs,whole milk} => {root vegetables}",0.0041687849517031,0.539473684210526,4.94936910840534,41
"{herbs,yogurt} => {other vegetables}",0.00203355363497712,0.571428571428571,2.95323173935891,20
"{herbs,yogurt} => {whole milk}",0.00213523131672598,0.6,2.34818941504178,21
"{herbs,rolls/buns} => {whole milk}",0.00244026436197255,0.8,3.13091922005571,24
"{herbs,other vegetables} => {whole milk}",0.00406710726995425,0.526315789473684,2.05981527635244,40
"{herbs,whole milk} => {other vegetables}",0.00406710726995425,0.526315789473684,2.72008186519899,40
"{processed cheese,white bread} => {whole milk}",0.00213523131672598,0.51219512195122,2.00455193966981,21
"{root vegetables,processed cheese} => {other vegetables}",0.00213523131672598,0.67741935483871,3.50100859423999,21
"{root vegetables,processed cheese} => {whole milk}",0.00203355363497712,0.645161290322581,2.52493485488364,20
"{tropical fruit,semi-finished bread} => {other vegetables}",0.00223690899847483,0.523809523809524,2.70712909441233,22
"{tropical fruit,semi-finished bread} => {whole milk}",0.00213523131672598,0.5,1.95682451253482,21
"{semi-finished bread,soda} => {whole milk}",0.00223690899847483,0.55,2.1525069637883,22
"{yogurt,semi-finished bread} => {other vegetables}",0.00223690899847483,0.628571428571429,3.2485549132948,22
"{yogurt,semi-finished bread} => {whole milk}",0.00203355363497712,0.571428571428571,2.23637087146836,20
"{other vegetables,semi-finished bread} => {whole milk}",0.00264361972547026,0.509803921568627,1.99519362062374,26
